Sample number,X1,X2,X3,X4,Y
148.0,2507394.6661887257,2699613.3978760596,2863656.3360194606,2968941.496243725,2261172.4057694892
149.0,2514551.1566180377,2752878.9609587947,2972067.4110627878,3144475.4169070637,2247867.650389708
150.0,2553555.240377936,2737774.921932672,2945869.489880062,3121136.85701173,2289733.913311693
151.0,2668492.0434113834,2894123.3061770136,3050575.983532039,3283610.600465758,2412960.762094762
152.0,2559718.9084060276,2791906.727165933,3018335.8672485193,3164197.9665527297,2232184.7534475834
153.0,2755500.806978507,2933105.92465241,3068368.833137659,3159421.40000867,2480117.556297176
154.0,2401699.0211340673,2627515.357220779,2823610.823953693,2987828.0821800707,2092748.9455001643
155.0,2773141.3904052796,2919355.67131153,3005197.651068985,3140032.4374172376,2451379.269955027
156.0,2858015.33731431,3050062.034653343,3207827.0111996057,3354109.716547071,2558889.6720423554
157.0,2916958.22264194,3141389.7147317897,3287938.112125803,3405745.8769651335,2533689.0490961955
158.0,2889113.4164451677,3119249.5969268074,3324126.6057816073,3401438.8981609847,2573769.14275034
159.0,2593405.3323795437,2795042.3632359924,2956498.0535679446,3030477.32423629,2243363.907740401
160.0,2813234.112585917,2995799.242614848,3108767.8089156756,3328776.874273629,2474602.3133970504
161.0,2421421.6310666236,2639506.776116411,2768493.5780021455,3018376.3102277443,2169026.6529161455
162.0,2852110.0423974534,3108206.256088304,3253521.5676578307,3450648.719620364,2596845.9814434494
163.0,2870572.0298081418,3103351.247170303,3322016.499357521,3459938.5949237463,2564720.5799403647
164.0,2608624.857839864,2854984.375543944,3017665.1996324705,3208873.540147008,2315786.514899669
165.0,2921790.825491615,3090348.945539218,3191317.0457737907,3292060.8744490556,2606406.7554167975
166.0,2513712.603139744,2730572.9540671688,2817968.2724049618,2987861.6906993515,2236078.2120731315
167.0,2541682.3137268876,2783758.9138702853,2906333.791139015,3111757.185923779,2272945.66789601
168.0,2738115.946136741,2919616.277321585,2990109.996569401,3163900.166192126,2381639.604070533
169.0,2647229.4236364085,2904039.3521455918,3114067.106125255,3248371.4056862397,2303472.8172088605
170.0,2457936.314084709,2693735.5684312326,2886916.1400726074,2994795.439246144,2205803.928004927
171.0,2526200.6284970953,2725308.2200276502,2924543.642936184,3081647.5832712883,2178612.6660740497
172.0,2811998.913936361,2979602.7345353463,3085279.140034993,3234278.9755542264,2479707.8533072635
173.0,2397363.14902346,2655096.804692863,2779565.7843985986,3018886.380363062,2149954.0613703053
174.0,2811544.4411587203,3037344.096071014,3167785.1239463678,3336978.085876617,2553452.7821666817
175.0,2605318.127322609,2851909.984113894,3020005.794978442,3197830.746382345,2279926.4490204426
176.0,2573599.746754874,2744724.4938942287,2861697.807802035,2944399.9442420416,2263169.7922882647
177.0,2492331.9666705565,2696582.9813541425,2889098.6609282256,3068656.6489891964,2177370.992010358
